quarter,quarter_end,calendar_year,calendar_quarter,fiscal_year,nominal_gdp_billions_saar,real_gdp_billions_chained_saar,annual_real_gdp_growth_rate,annual_inflation_rate,annual_tips_reference_inflation_rate,primary_deficit_billions,marketable_interest_excluding_tips_inflation_billions,bills_interest_cost_billions,notes_interest_cost_billions,bonds_interest_cost_billions,tips_real_interest_cost_billions,frns_interest_cost_billions,other_public_debt_interest_billions,tips_inflation_compensation_billions,tips_deflation_floor_cost_billions,modeled_debt_interest_cost_billions,modeled_total_deficit_billions,other_financing_adjustment_billions,treasury_debt_management_adjustment_billions,beginning_debt_held_by_public_billions,debt_held_by_public_billions,debt_held_by_public_gdp_ratio,primary_deficit_gdp_ratio_annualized,modeled_interest_gdp_ratio_annualized,modeled_total_deficit_gdp_ratio_annualized,marketable_debt_billions,other_public_debt_billions,bills_outstanding_billions,notes_outstanding_billions,bonds_outstanding_billions,nominal_fixed_rate_debt_outstanding_billions,tips_outstanding_billions,frns_outstanding_billions,bill_share_of_marketable_debt,weighted_average_remaining_maturity_quarters,principal_maturing_next_four_quarters_billions,principal_maturing_next_eight_quarters_billions,share_marketable_debt_maturing_next_four_quarters,share_marketable_debt_maturing_next_eight_quarters,principal_maturing_billions,principal_refinanced_billions,treasury_buyback_operation_count,treasury_buyback_cash_limit_billions,treasury_buyback_face_value_limit_billions,treasury_buyback_cash_spent_billions,treasury_buyback_face_value_retired_billions,treasury_buyback_premium_or_discount_billions,treasury_buyback_unfilled_cash_limit_billions,treasury_buyback_unfilled_face_value_limit_billions,treasury_buyback_weighted_price_per_dollar_face,treasury_buyback_notes_retired_billions,treasury_buyback_bonds_retired_billions,treasury_buyback_financing_issuance_billions,treasury_buyback_financing_instrument,frn_principal_reset_billions,principal_repriced_or_reset_billions,net_new_borrowing_requirement_billions,genuinely_new_borrowing_billions,debt_repayment_billions,gross_treasury_issuance_billions,new_borrowing_bill_share,new_borrowing_note_share,new_borrowing_bond_share,new_borrowing_tips_share,new_borrowing_frn_share,average_effective_marketable_rate_excluding_tips_inflation,average_effective_debt_cost_rate_including_tips_inflation,average_new_issuance_stated_rate,share_marketable_debt_repriced_since_scenario_start,cumulative_modeled_interest_billions,debt_identity_residual_billions,scenario
2026Q4,2026-12-31,2026,4,2027,32494.749328920883,24334.483486635447,-0.02,0.02374108660242924,0.02771554138299126,194.872,262.77373580186674,55.91196830625741,138.7066086465815,45.90202768161394,6.830451248587104,15.422679918826764,4.968063415379199,15.669722733652822,0.0,283.41152195089876,478.2835219508988,5.538,0.0,32215.665354410852,32699.486876361752,1.0063006347692809,0.023988121653434096,0.03488705440772952,0.05887517606116361,32116.722839367125,582.7640369946275,6900.719597135018,16599.998264328406,5537.634784657662,22137.633048986067,2333.4554051875534,744.9147880584759,0.21486375280719644,24.389899668742217,10389.974586384971,13385.224783509682,0.3235066864807714,0.416768075947734,7665.516018009889,7665.51601800989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,734.0288243174178,8399.544842327308,468.151799217246,468.151799217246,0.0,8133.667817227136,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.04609959276180814,0.03518928059787473,0.08383483966658266,0.2734150701709626,283.41152195089876,0.0,fixed_issuance
2027Q1,2027-03-31,2027,1,2027,32517.71732280901,24211.887731116716,-0.02,0.023296209984862815,0.026152401325720165,194.872,370.1700505911899,142.81039206270918,155.50621409485328,47.832561402724565,8.418975029950598,15.601908000952285,4.968063415379199,15.10898639416756,0.0,390.2471004007367,585.1191004007367,5.538,0.0,32699.486876361752,33290.14397676248,1.0237540244994894,0.02397117830448822,0.04800424292107422,0.07197542122556243,32707.37993976786,582.7640369946275,7024.699018895542,16898.236463557885,5637.124808684701,22535.361272242586,2389.0216034508285,758.2980451788922,0.21477412840257606,24.52427012331927,10399.249675416351,13227.409126301465,0.3179481112387188,0.4044166530813641,7820.433550822089,7820.43355082209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,744.9147880584759,8565.348338880565,575.5481140065692,575.5481140065692,0.0,8395.98166482866,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.04834168757309773,0.04773739745535198,0.08374712192371968,0.3114431881838891,673.6586223516355,-7.275957614183426e-12,fixed_issuance
2027Q2,2027-06-30,2027,2,2027,32535.292940369363,24089.909606100784,-0.02,0.022616048740021766,0.02507028033791192,194.872,395.32328562167703,145.13028173038174,173.8470840941636,50.18875277293736,10.297711636625886,15.859455387568357,4.968063415379199,14.834614291626274,0.0,415.12596332868253,609.9979633286825,5.538,0.0,33290.14397676248,33905.67994009117,1.042120014171486,0.023958229035424532,0.05103700330462981,0.07499523234005434,33322.915903096546,582.7640369946275,7154.096725346078,17209.50859572491,5740.962854878158,22950.47145060307,2446.0815350645357,772.2661920828573,0.21468999730246535,24.60515694854736,10443.072487729813,13086.637169371503,0.31339011622207363,0.39272184965528245,7926.909522083838,7926.909522083837,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,758.2980451788922,8685.207567262729,600.7013490370563,600.7013490370563,0.0,8527.610871120893,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.050517801842078006,0.04987974382068793,0.0837547021761706,0.3481871603542527,1088.784585680318,0.0,fixed_issuance
2027Q3,2027-09-30,2027,3,2027,32549.94864533719,23968.546000000006,-0.02,0.022248000239960097,0.024382592342289344,194.872,420.90213948143173,147.5890154438896,192.72536974768812,52.5894884009301,11.879668641530317,16.118597247393637,4.968063415379199,14.776026093081922,0.0,440.64622898989285,635.5182289898928,5.538,0.0,33905.67994009117,34546.736169081065,1.0613453356102274,0.023947441776122815,0.05415015965661326,0.07809760143273607,33963.972132086434,582.7640369946275,7289.004399484202,17534.035208495443,5849.222496283483,23383.257704778927,2504.8809021110633,786.8291257122407,0.21460989224514573,24.71815207985729,10426.018560899307,12884.956837322397,0.3069728864560468,0.37937131697118914,8091.143309867532,8091.143309867531,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,772.2661920828573,8863.409501950387,626.280202896811,626.280202896811,0.0,8717.423512764342,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.052751478619923575,0.05198494526798839,0.08371227776251552,0.38510409986146427,1529.430814670211,0.0,fixed_issuance
2027Q4,2027-12-31,2027,4,2028,32727.07720050504,23968.546000000006,0.0,0.021945305341696475,0.024162847358085493,215.4585,447.9770905266481,150.18993565137197,212.72345057038578,55.16176617923632,13.508353291439573,16.393584834214533,5.137064986107641,14.996059284267206,0.0,468.110214797023,683.568714797023,2.14175,0.0,34546.736169081065,35232.44663387809,1.0765534122715483,0.026333973997124935,0.05721381251727535,0.08354778651440029,34649.68259688346,582.7640369946275,7433.48369172453,17881.58678868377,5965.163093943028,23846.7498826268,2567.023731834027,802.4252906980962,0.21453251904804257,24.673518017902758,10435.005812470443,12867.082813526165,0.3011573275828221,0.3713477829861416,8022.48153738188,8022.48153738188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,786.8291257122407,8809.31066309412,670.7144055127557,670.7144055127557,0.0,8693.195942894636,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.05458754633131724,0.05420022458920172,0.08346877322722825,0.41551256317749463,1997.541029467234,0.0,fixed_issuance
2028Q1,2028-03-31,2028,1,2028,32903.007321605444,23968.546000000006,0.0,0.0216767083117837,0.023850744937782276,215.4585,472.9322887597373,153.01826179414945,230.1945377928837,58.03091127043561,14.986095476387613,16.702482425880866,5.137064986107641,15.171330566627459,0.0,493.24068431247235,708.6991843124723,2.14175,0.0,35232.44663387809,35943.28756819056,1.0924012877263272,0.026193168046195123,0.05996299116264556,0.08615615920884068,35360.52353119593,582.7640369946275,7583.338609341024,18242.069682868845,6085.417480860826,24327.48716372967,2631.0960176200533,818.6017405051794,0.21445775831488506,24.65283259406407,10417.482561687226,12803.257588723132,0.294607701509189,0.36207771577329106,8238.952199457772,8238.952199457772,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,802.4252906980962,9041.377490155868,695.6696037458448,695.6696037458448,0.0,8934.621803203616,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.056494803453966035,0.055998459537941046,0.08338325426793425,0.4470109931586839,2490.7817137797065,-7.275957614183426e-12,fixed_issuance
2028Q2,2028-06-30,2028,2,2028,33078.45806907888,23968.546000000006,0.0,0.02150065998978512,0.023590801926968608,215.4585,499.5061216761336,155.95135850109816,248.67473069587598,60.823819406601466,17.0313433744015,17.024869698156447,5.137064986107641,15.381999625291852,0.0,520.0251862875331,735.483686287533,2.14175,0.0,35943.28756819056,36680.91300447809,1.1089063742897594,0.026054237419416662,0.06288384847946016,0.0889380858988768,36098.14896748346,582.7640369946275,7738.9178241253085,18616.32263707625,6210.265456413531,24826.58809348978,2697.2469365190236,835.3961133493469,0.21438544760553738,24.630444567578948,10388.585332181938,12788.184361812735,0.2877872032036818,0.35426149892982306,8400.526250303397,8400.526250303397,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,818.6017405051794,9219.127990808576,722.2434366622412,722.2434366622412,0.0,9122.76968696564,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.058343454692066574,0.05787174423607818,0.08333390834604508,0.4778886523206932,3010.8069000672394,0.0,fixed_issuance
2028Q3,2028-09-30,2028,3,2028,33251.27226160394,23968.546000000006,0.0,0.02106182624872388,0.023346411992499982,215.4585,526.6187050010525,159.01541399121461,267.6453101405641,63.72653483820185,18.869826305389015,17.361619725682807,5.137064986107641,15.606780611821467,0.0,547.3625505989816,762.8210505989815,2.14175,0.0,36680.91300447809,37445.87580507707,1.1261486631390265,0.025918827803626053,0.06584560690401427,0.09176443470764031,36863.111768082446,582.7640369946275,7900.337388866886,19004.624821626872,6339.800149724121,25344.424971350993,2765.5284710362434,852.8209368283193,0.21431553143344,24.580214529833956,10365.430078275222,12812.135923802063,0.28118706156678897,0.3475598046200571,8523.637098463598,8523.637098463598,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,835.3961133493469,9359.033211812945,749.35601998716,749.35601998716,0.0,9272.993118450759,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.06010149629126543,0.059689086859114796,0.08334083267083622,0.5070301345345619,3558.169450666221,-7.275957614183426e-12,fixed_issuance
2028Q4,2028-12-31,2028,4,2029,33567.27804848896,24072.26500958159,0.01742186418178404,0.020775810233577552,0.02309377715644856,173.80475,553.988726194189,162.21367743690934,286.59483450091807,66.85005478322783,20.617068615209455,17.713090857924193,5.268186894431433,15.830184595065484,0.0,575.0870976836859,748.8918476836859,-2.42575,0.0,37445.87580507707,38192.34190276076,1.1377848941934092,0.020711211644737323,0.06852948837292736,0.08924070001766467,37609.57786576613,582.7640369946275,8057.7244357839845,19383.226599148205,6466.098860082461,25849.325459230666,2832.71751028767,869.8104604638072,0.2142466066634179,24.371818341277233,10496.006789426774,12739.021564232473,0.27907802706237483,0.338717483341606,8497.898389356065,8497.898389356065,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,852.8209368283193,9350.719326184384,730.6359130886204,730.6359130886204,0.0,9228.534302444685,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.06146337849396614,0.06143128826013071,0.08308291358251661,0.5298238246294465,4133.2565483499075,7.275957614183426e-12,fixed_issuance
2029Q1,2029-03-31,2029,1,2029,33886.340980372326,24177.969524360276,0.017680562926939647,0.020522825130940392,0.02297286568423096,173.80475,578.017590020644,165.34450542228737,302.5465573271736,69.90091586195312,22.170520776152063,18.05509063307746,5.268186894431433,16.130604933886623,0.0,599.416381848962,773.221131848962,-2.42575,0.0,38192.34190276076,38963.13728460972,1.1498183680314726,0.020516201510298364,0.07075610579450363,0.09127230730480199,38380.37324761509,582.7640369946275,8220.287565412966,19774.279681613003,6596.551232282892,26370.830913895894,2901.8960394989326,887.3587288072958,0.21417945866182436,24.19568172020491,10611.847201024373,12727.807050044281,0.2764915060247305,0.3316228054357228,8695.970981528808,8695.970981528808,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,869.8104604638072,9565.781441992614,754.6647769150754,754.6647769150754,0.0,9450.635758443883,0.2154110468670722,0.5181811771623273,0.1728613500867164,0.0702933619006643,0.0232530639832198,0.06282365452972132,0.06277869876375744,0.08300931783622405,0.5529126810882604,4732.67293019887,0.0,fixed_issuance
